LastName;FirstName;University;Faculty;Course;Group;Age;City
Великанова;Ингриетта;Сибирский государственный аэрокосмический университет имени академика М.Ф. Решетнева;Факультет управления и политики;3;433;21;Красноярск
Бернарчук;Джойзи;Уральский федеральный университет имени первого Президента России Б.Н. Ельцина;Филологический факультет;2;921;22;Екатеринбург
Загретдинова;Калани;Волгоградский государственный технический университет;Высшая школа перевода (факультет);2;921;20;Волгоград
Брандыс;Гуливера;Пермский национальный исследовательский политехнический университет;Высшая школа управления и инноваций (факультет);4;445;25;Пермь
Дюжанов;Ишем;Уральский государственный медицинский университет Министерства здравоохранения РФ;Высшая школа инновационного бизнеса (факультет);2;425;21;Екатеринбург
Беспалов;Даце;Московский государственный институт международных отношений (университет) МИД РФ;Факультет биоинженерии и биоинформатики;3;232;21;Москва
Груганова;Квианна;Курский государственный медицинский университет Министерства здравоохранения РФ;Юридический факультет;1;714;18;Курск
Злаина;Василисса;Северо-Восточный федеральный университет им. М. К. Аммосова;Юридический факультет;5;455;22;Якутск
Бутукин;Тифон;Томский государственный университет систем управления и радиоэлектроники;Факультет прикладной экономики и коммерции;5;555;26;Томск
Вайц;Нехума;Казанский национальный исследовательский технический университет имени А.Н. Туполева-КАИ;Институт международных отношений и управления (School of Government and International Affairs);1;713;24;Казань
Зохин;Лаурент;Казанский национальный исследовательский технологический университет;Философский факультет;3;633;23;Казань
Альперт;Гелсиря;Томский государственный педагогический университет;Факультет управления и политики;2;123;22;Томск
Бояршин;Касиана;Первый Московский государственный медицинский университет имени И.М. Сеченова Министерства здравоохранения РФ;Исторический факультет;4;943;19;Москва
Бабукин;Мавлави;Сибирский государственный аэрокосмический университет имени академика М.Ф. Решетнева;Факультет почвоведения;1;711;19;Красноярск
Бобрусев;Афсана;Российский государственный педагогический университет имени А. И. Герцена;Высшая школа культурной политики и управления в гуманитарной сфере (факультет);2;627;24;Санкт-Петербург
Драковская;Алиция;Волгоградский государственный университет;Биологический факультет;3;233;26;Волгоград
Велюго;Полиферия;Московский технический университет связи и информатики;Факультет политологии;2;426;22;Москва
Банянина;Хантер;Казанский национальный исследовательский технологический университет;Факультет фундаментальной физико?химической инженерии;1;517;19;Казань
Большинский;Гилбурт;Воронежский государственный медицинский университет имени Н.Н. Бурденко Министерства здравоохранения РФ;Факультет управления и политики;2;725;20;Воронеж
Гимельфарб;Амирон;Казанский национальный исследовательский технический университет имени А.Н. Туполева-КАИ;Высшая школа культурной политики и управления в гуманитарной сфере (факультет);4;846;18;Казань
Денке;Наиталья;Национальный исследовательский университет ?Московский институт электронной техники?;Высшая школа культурной политики и управления в гуманитарной сфере (факультет);1;614;22;Москва
Гамзелев;Раван;Южно-Российский государственный политехнический университет (НПИ) имени М.И. Платова;Исторический факультет;2;822;26;Новочеркасск
Добросоцкий;Жизномир;Российский государственный гуманитарный университет;Факультет журналистики;5;756;22;Москва
Едигаров;Кенсиро;Новосибирский национальный исследовательский государственный университет;Философский факультет;5;354;23;Новосибирск
Браева;Сахих;Национальный исследовательский Томский политехнический университет;Высшая школа государственного администрирования (факультет);3;832;19;Томск
Зайденов;Альгердес;Алтайский государственный университет;Высшая школа культурной политики и управления в гуманитарной сфере (факультет);1;511;21;Барнаул
Вальтух;Целозия;Национальный исследовательский университет ?МЭИ?;Факультет прикладной экономики и коммерции;1;114;18;Москва
Жедиханова;Джафер;Казанский (Приволжский) федеральный университет;Факультет управления и политики;3;131;20;Казань
Головенков;Саадах;Санкт-Петербургский политехнический университет Петра Великого;Высшая школа бизнеса (факультет);3;436;22;Санкт-Петербург
Безпортошный;Еммилия;Курский государственный медицинский университет Министерства здравоохранения РФ;Факультет политологии;1;811;19;Курск
Бобренок;Хулуд;Университет ИТМО;Социологический факультет;6;865;23;Санкт-Петербург
Апсэ;Асатулла;Первый Санкт-Петербургский государственный медицинский университет имени академика И.П. Павлова;Институт стран Азии и Африки;4;941;18;Санкт-Петербург
Гогличидзе;Дасим;Санкт-Петербургский государственный технологический институт (технический университет);Высшая школа управления и инноваций (факультет);3;835;26;Санкт-Петербург
Веротченко;Домиан;Томский государственный университет систем управления и радиоэлектроники;Биологический факультет;6;166;26;Томск
Бепренева;Роззета;Национальный исследовательский Мордовский государственный университет имени Н.П. Огарёва;Факультет Международной журналистики;2;326;18;Саранск
Гайнеев;Кадирбахш;Тюменский государственный университет;Биологический факультет;6;964;21;Тюмень
Голотик;Икилина;Уральский государственный университет путей сообщения;Факультет лингвистики и межкультурной коммуникации;6;961;19;Екатеринбург
Демартини;Ленея;Российский государственный гуманитарный университет;Высшая школа культурной политики и управления в гуманитарной сфере (факультет);1;914;22;Москва
Дворный;Владжимир;Российский экономический университет имени Г.В. Плеханова;Факультет лингвистики и межкультурной коммуникации;2;922;25;Москва
Величкина-Генкина;Арире;Пермский национальный исследовательский политехнический университет;Факультет фундаментальной медицины;5;553;25;Пермь
Ахтырцев;Акила;Московский технический университет связи и информатики;Высшая школа управления и инноваций (факультет);5;956;26;Москва
Гранукина;Революта;Саратовский медицинский университет имени В.И. Разумовского Министерства здравоохранения РФ;Факультет глобальных процессов;4;443;19;Саратов
Делив;Миве;Московский государственный технологический университет ?СТАНКИН?;Факультет Международной журналистики;3;431;21;Москва
Бравинская;Алимажан;Нижегородский государственный университет имени Н.И. Лобачевского.;Факультет Международной журналистики;5;951;19;Нижний Новгород
Зоммер;Юзык;Уральский федеральный университет имени первого Президента России Б.Н. Ельцина;Mеханико?математический факультет;1;117;21;Екатеринбург
Желвачев;Росс;Санкт-Петербургский политехнический университет Петра Великого;Институт международных отношений и управления (School of Government and International Affairs);3;637;21;Санкт-Петербург
Бабчина;Мартычка;Омский государственный медицинский университет Министерства здравоохранения РФ;Факультет финансовой экономики;1;611;22;Омск
Аханкари;Гед;Национальный исследовательский Мордовский государственный университет имени Н.П. Огарёва;Социологический факультет;3;233;21;Саранск
Горщарук;Каракилде;Санкт-Петербургский национальный исследовательский университет информационных технологий, механики и оптики;Физический факультет;5;953;18;Санкт-Петербург
Журковский;Деймон;Национальный исследовательский университет ?Московский институт электронной техники?;Геологический факультет;1;817;25;Москва
Безчеревных;Дэнни;Южно-Российский государственный политехнический университет (НПИ) имени М.И. Платова;Факультет Международной журналистики;4;947;18;Новочеркасск
Гримчак;Гисмат;Белгородский государственный технологический университет имени В.Г. Шухова;Высшая школа государственного аудита (факультет);6;261;26;Белгород
Абруков;Алкиния;Самарский государственный медицинский университет Министерства здравоохранения РФ;Высшая школа инновационного бизнеса (факультет);1;516;21;Самара
Бачковская;Хузур;Московский государственный университет им. М.В. Ломоносова;Философский факультет;6;963;21;Москва
Брындина;Газиля;Национальный исследовательский Томский политехнический университет;Московская школа экономики (факультет);6;767;21;Томск
Боцько;Огулсурай;Санкт-Петербургский государственный университет;Институт международных отношений и управления (School of Government and International Affairs);3;333;21;Санкт-Петербург
Бадяутдинова;Нефизе;Казанский национальный исследовательский технологический университет;Геологический факультет;1;817;21;Казань
Герейханов;Фелс;Алтайский государственный технический университет имени И.И. Ползунова;Высшая школа телевидения (факультет);1;715;20;Барнаул
Алпацкая;Бедел;Северо-Восточный федеральный университет им. М. К. Аммосова;Биотехнологический факультет;4;841;18;Якутск
Амбулов;Ролландас;Северо-Восточный федеральный университет им. М. К. Аммосова;Высшая школа культурной политики и управления в гуманитарной сфере (факультет);2;925;21;Якутск
Гильдунина;Идекей;Санкт-Петербургский государственный технологический институт (технический университет);Высшая школа культурной политики и управления в гуманитарной сфере (факультет);3;235;18;Санкт-Петербург
Гнедаш;Тулеген;Северо-Восточный федеральный университет им. М. К. Аммосова;Высшая школа государственного администрирования (факультет);3;331;26;Якутск
Бондорева;Янира;Санкт-Петербургский национальный исследовательский университет информационных технологий, механики и оптики;Высшая школа телевидения (факультет);1;113;24;Санкт-Петербург
Герарди;Двард;Первый Санкт-Петербургский государственный медицинский университет имени академика И.П. Павлова;Факультет довузовской подготовки;3;134;19;Санкт-Петербург
Гализин;Ибни;Самарский гос. аэрокосмический университет имени академика С.П. Королёва (НИУ).;Факультет глобальных процессов;6;262;26;Самара
Глоян;Клея;Московский государственный технологический университет ?СТАНКИН?;Факультет Международного бизнеса и делового администрирования;5;255;19;Москва
Абрамянц;Гилман;Уральский государственный медицинский университет Министерства здравоохранения РФ;Факультет мировой политики;4;742;21;Екатеринбург
Двужильный;Аклимя;Сибирский государственный аэрокосмический университет имени академика М.Ф. Решетнева;Факультет политологии;6;667;26;Красноярск
Губерова;Аревган;Российский химико-технологический университет им. Д. И. Менделеева;Высшая школа управления и инноваций (факультет);4;647;22;Москва
Гореловский;Ласк;Самарский государственный университет;Физический факультет;6;961;25;Самара
Дворящина;Ивалана;Московский государственный технологический университет ?СТАНКИН?;Экономический факультет;1;412;21;Москва
Бойчак;Ержбета;Российский государственный университет нефти и газа (национальный исследовательский университет) им. И. М. Губкина;Факультет Международных отношений;5;857;21;Москва
Зрилова;Маяк;Белгородский государственный технологический университет имени В.Г. Шухова;Высшая школа государственного администрирования (факультет);5;756;24;Белгород
Жиранкова;Рауадин;Национальный исследовательский Мордовский государственный университет имени Н.П. Огарёва;Факультет Международных экономических отношений;5;657;26;Саранск
Домонтович;Левий;Саратовский государственный технический университет имени Гагарина Ю.А.;Факультет журналистики;1;611;19;Саратов
Заудалова;Кастанелла;Московский государственный технологический университет ?СТАНКИН?;Факультет Международной журналистики;3;437;20;Москва
Ежелов;Гулджихан;Белгородский государственный технологический университет имени В.Г. Шухова;Институт международных отношений и управления (School of Government and International Affairs);1;813;24;Белгород
Барбаков;Джэксон;Иркутский национальный исследовательский технический университет;Факультет глобальных процессов;3;235;20;Иркутск
Винничук;Альвидас;Саратовский государственный технический университет имени Гагарина Ю.А.;Факультет космических исследований;2;426;22;Саратов
Бригидина;Ионита;Томский государственный педагогический университет;Высшая школа бизнеса (факультет);6;966;23;Томск
Ворслова;Абнасир;Казанский национальный исследовательский технологический университет;Геологический факультет;1;512;26;Казань
Жижин;Агамерза;Саратовский национальный исследовательский государственный университет имени Н.Г. Чернышевского;Факультет прикладной экономики и коммерции;1;317;20;Саратов
Гершойг;Азмина;Самарский государственный университет;Высшая школа культурной политики и управления в гуманитарной сфере (факультет);3;131;20;Самара
Гумников;Пентелеймон;Национальный исследовательский Мордовский государственный университет имени Н.П. Огарёва;Факультет финансовой экономики;6;661;25;Саранск
Гудочков;Верци;Саратовский медицинский университет имени В.И. Разумовского Министерства здравоохранения РФ;Факультет Международных отношений;6;665;25;Саратов
Жорчев;Агадпея;Московский авиационный институт (национальный исследовательский университет);Факультет фундаментальной физико?химической инженерии;5;357;26;Москва
Бадалина;Улданай;Омский государственный технический университет;Социологический факультет;6;162;26;Омск
Валежанина;Буа;Самарский государственный технический университет;Школа бизнеса и международных компетенций;6;662;21;Самара
Ветдиктова;Лонни;Волгоградский государственный медицинский университет Министерства здравоохранения РФ;Факультет педагогического образования;1;213;21;Волгоград
Актураева;Наргиза;Южный федеральный университет;Высшая школа современных социальных наук (факультет);4;446;23;Ростов-На-Дону
Гаврисина;Дживаншир;Московский педагогический государственный университет;Факультет педагогического образования;6;161;26;Москва
Алямов;Абденур;Саратовский национальный исследовательский государственный университет имени Н.Г. Чернышевского;Высшая школа бизнеса (факультет);2;523;18;Саратов
Валтыхов;Бохан;Уральский государственный университет путей сообщения;Факультет космических исследований;6;563;24;Екатеринбург
Гоцкая;Збислав;Казанский национальный исследовательский технологический университет;Химический факультет;4;547;22;Казань
Гегель;Авиз;Ижевский государственный технический университет имени М.Т. Калашникова;Социологический факультет;3;135;18;Ижевск
Голованцева;Хранислав;Всероссийская академия внешней торговли Министерства экономического развития РФ;Высшая школа управления и инноваций (факультет);6;163;18;Москва
Агкацева;Диган;Московский физико-технический институт (государственный университет);Филологический факультет;2;427;19;Москва
Брежняя;Анки;Московский государственный юридический университет им. О. Е. Кутафина (МГЮА);Геологический факультет;3;333;21;Москва
Баулина;Вышеслава;Национальный исследовательский Мордовский государственный университет имени Н.П. Огарёва;Высшая школа управления и инноваций (факультет);2;324;19;Саранск
Дужий;Ханмурад;Курский государственный медицинский университет Министерства здравоохранения РФ;Высшая школа управления и инноваций (факультет);3;437;23;Курск
Божедомова;Аналинн;Московский авиационный институт (национальный исследовательский университет);Геологический факультет;2;523;22;Москва
Атанесян;Ильбай;Санкт-Петербургский государственный архитектурно-строительный университет;Экономический факультет;2;221;19;Санкт-Петербург
Бахеркин;Мажена;Северо-Западный Госмедуниверситет им. И.И. Мечникова.;Факультет почвоведения;3;132;22;Санкт-Петербург
Здобнухина;Ефрасий;Уральский государственный медицинский университет Министерства здравоохранения РФ;Факультет психологии;3;733;20;Екатеринбург
Гуманов;Эфросинья;Пермский национальный исследовательский политехнический университет;Факультет искусств;1;113;21;Пермь
Дзыгобродская;Иллар;Московский педагогический государственный университет;Факультет иностранных языков и регионоведения;2;321;19;Москва
Баклицкая;Памфий;Омский государственный технический университет;Химический факультет;4;443;25;Омск
Дубанков;Малачай;Московский государственный технический университет гражданской авиации (МГТУ ГА);Высшая школа культурной политики и управления в гуманитарной сфере (факультет);2;521;26;Москва
Батин;Агдия;Национальный исследовательский университет ?МЭИ?;Юридический факультет;3;437;19;Москва
Бершаденко;Гиллизаман;Московский государственный лингвистический университет;Европейский учебный институт;2;622;25;Москва
Доронькин;Гедре;Самарский государственный университет;Факультет биоинженерии и биоинформатики;2;122;23;Самара
Дурабажева;Эсат;Белгородский государственный технологический университет имени В.Г. Шухова;Химический факультет;4;744;23;Белгород
Дубанина;Брен;Нижегородский государственный технический университет имени Р.Е. Алексеева;Факультет искусств;6;963;18;Нижний Новгород
Дрепин;Михамл;Национальный исследовательский ядерный университет ?МИФИ?;Институт международных отношений и управления (School of Government and International Affairs);1;611;23;Москва
Бушусь;Рашидат;Московский государственный университет путей сообщения Императора Николая II;Высшая школа государственного аудита (факультет);3;431;18;Москва
Гендель;Пахон;Национальный исследовательский Томский политехнический университет;Факультет государственного управления;4;246;24;Томск
Алперин;Вальтезар;Волгоградский государственный университет;Факультет космических исследований;5;851;25;Волгоград
Денищенкова;Абдусалам;Российский государственный университет нефти и газа (национальный исследовательский университет) им. И. М. Губкина;Географический факультет;5;955;24;Москва
Давыдычев;Зартар;Воронежский государственный медицинский университет имени Н.Н. Бурденко Министерства здравоохранения РФ;Философский факультет;2;724;20;Воронеж
Водянская;Джосеф;Московский государственный институт международных отношений (университет) МИД РФ;Факультет прикладной экономики и коммерции;3;436;23;Москва
Адалева;Башкурт;Новосибирский государственный технический университет;Факультет биоинженерии и биоинформатики;2;925;19;Новосибирск
Зоподеев;Данька;Волгоградский государственный технический университет;Институт стран Азии и Африки;5;553;20;Волгоград
Егорина;Натрули;Национальный исследовательский университет ?Высшая школа экономики?;Социологический факультет;2;823;25;Москва
Добрынская;Автандий;Южно-Российский государственный политехнический университет (НПИ) имени М.И. Платова;Исторический факультет;3;732;20;Новочеркасск
Буркот;Марват;Российский государственный гуманитарный университет;Экономический факультет;5;652;21;Москва
Газанова;Девон;Московский авиационный институт (национальный исследовательский университет);Школа бизнеса и международных компетенций;4;545;23;Москва
Герчековский;Алора;Первый Санкт-Петербургский государственный медицинский университет имени академика И.П. Павлова;Институт международных отношений и управления (School of Government and International Affairs);6;865;22;Санкт-Петербург
Гондюл;Хаджарат;Сибирский государственный медицинский университет Министерства здравоохранения РФ;Факультет прикладной экономики и коммерции;4;944;24;Томск
Еврейнов;Вахоб;Воронежский государственный архитектурно-строительный университет;Высшая школа культурной политики и управления в гуманитарной сфере (факультет);2;626;25;Воронеж
Братчик;Лучис;Российский государственный гуманитарный университет;Высшая школа культурной политики и управления в гуманитарной сфере (факультет);1;412;21;Москва
Жулянов;Сорока;Московский государственный университет им. М.В. Ломоносова;Филологический факультет;2;726;20;Москва
Давлетшинов;Милан;Санкт-Петербургский гос. электротехнический университет ?ЛЭТИ? имени В.И. Ульянова (Ленина);Московская школа экономики (факультет);5;355;20;Санкт-Петербург
Дзагаев;Анарик;Национальный исследовательский ядерный университет ?МИФИ?;Высшая школа современных социальных наук (факультет);5;651;18;Москва
Буйдаков;Агарваль;Томский государственный педагогический университет;Высшая школа культурной политики и управления в гуманитарной сфере (факультет);4;742;25;Томск
Данилихина;Афаносий;Национальный исследовательский технологический университет ?МИСиС?;Факультет прикладной экономики и коммерции;3;232;21;Москва
Дрюпина;Боголен;Московский государственный университет им. М.В. Ломоносова;Высшая школа бизнеса (факультет);1;816;22;Москва
Алеукина;Арджун;Дальневосточный федеральный университет;Факультет фундаментальной медицины;4;845;26;Владивосток
Закариашвили;Лупп;Казанский национальный исследовательский технологический университет;Географический факультет;2;426;25;Казань
Заиончковская;Гулсым;Самарский государственный университет;Международный институт энергетической политики и дипломатии;6;761;21;Самара
Дымникова;Иммануил;Тюменский государственный медицинский университет Министерства здравоохранения РФ;Факультет государственного управления;2;322;19;Тюмень
Бруева;Анварша;Волгоградский государственный технический университет;Факультет государственного управления;2;523;24;Волгоград
Белобжеский;Рэмс;Университет ИТМО;Факультет журналистики;5;754;26;Санкт-Петербург
Гонсеровский;Кадерша;Санкт-Петербургский гос. электротехнический университет ?ЛЭТИ? имени В.И. Ульянова (Ленина);Философский факультет;3;532;18;Санкт-Петербург
Зинковецкий;Иустин;Томский государственный педагогический университет;Философский факультет;5;355;21;Томск
Ботина;Нинок;Самарский государственный технический университет;Факультет довузовской подготовки;4;445;23;Самара
Богначева;Клария;Московский государственный технический университет гражданской авиации (МГТУ ГА);Геологический факультет;1;912;26;Москва
Далькаров;Даиса;Воронежский государственный медицинский университет имени Н.Н. Бурденко Министерства здравоохранения РФ;Высшая школа бизнеса (факультет);5;657;19;Воронеж
Батцев;Маригольда;Омский государственный технический университет;Факультет космических исследований;6;861;23;Омск
Валовский;Мазид;Уральский государственный медицинский университет Министерства здравоохранения РФ;Институт стран Азии и Африки;4;246;21;Екатеринбург
Завалова;Яхимба;Государственный университет ?Дубна?;Филологический факультет;1;816;23;Дубна
Галякин;Евгине;Российский государственный педагогический университет имени А. И. Герцена;Факультет финансовой экономики;2;727;20;Санкт-Петербург
Зернина;Езекия;Курский государственный медицинский университет Министерства здравоохранения РФ;Факультет лингвистики и межкультурной коммуникации;5;454;19;Курск
Гопоннкова;Киприян;Южно-Российский государственный политехнический университет (НПИ) имени М.И. Платова;Биотехнологический факультет;4;145;26;Новочеркасск
Айшетова;Баатар;Московский государственный юридический университет им. О. Е. Кутафина (МГЮА);Факультет искусств;2;224;20;Москва
Аин;Анделка;Алтайский государственный университет;Геологический факультет;2;327;24;Барнаул
Андронникова;Герта;Московский физико-технический институт (государственный университет);Факультет Международных экономических отношений;5;553;26;Москва
Доброслов;Курман;Юго-Западный государственный университет;Философский факультет;1;417;19;Курск
Бушняков;Хвигар;Южно-Российский государственный политехнический университет (НПИ) имени М.И. Платова;Факультет глобальных процессов;2;321;20;Новочеркасск
Живук;Дабыш;Московский авиационный институт (национальный исследовательский университет);Школа бизнеса и международных компетенций;2;421;20;Москва
Агеусов;Анушван;Ставропольский государственный аграрный университет;Факультет довузовской подготовки;4;742;19;Ставрополь
Димарев;Женима;Национальный исследовательский ядерный университет ?МИФИ?;Высшая школа государственного администрирования (факультет);6;761;24;Москва
Бенуа;Варшам;Национальный исследовательский Московский государственный строительный университет;Факультет фундаментальной медицины;6;561;21;Москва
Апаликова;Ясир;Сибирский государственный медицинский университет Министерства здравоохранения РФ;Факультет мировой политики;3;436;26;Томск
Больщещапова;Светланга;Национальный исследовательский университет ?МЭИ?;Факультет почвоведения;4;341;26;Москва
Борозденкова;Мильда;Государственный университет ?Дубна?;Московская школа экономики (факультет);2;823;19;Дубна
Воробейчик;Ниссий;Новосибирский государственный технический университет;Факультет журналистики;2;425;22;Новосибирск
Длусская;Беляна;Самарский государственный медицинский университет Министерства здравоохранения РФ;Mеханико?математический факультет;6;564;18;Самара
Бестужева;Аликион;Московский физико-технический институт (государственный университет);Высшая школа государственного администрирования (факультет);4;441;26;Москва
Елшановский;Агний;Воронежский государственный медицинский университет имени Н.Н. Бурденко Министерства здравоохранения РФ;Социологический факультет;2;925;20;Воронеж
Айрапитян;Делдаде;Московский государственный институт международных отношений (университет) МИД РФ;Московская школа экономики (факультет);6;167;25;Москва
Алырчиков;Ведедим;Омский государственный технический университет;Факультет управления и политики;1;611;18;Омск
Завальной;Тахи;Национальный исследовательский университет ?Высшая школа экономики?;Институт международных отношений и управления (School of Government and International Affairs);2;625;26;Москва
Гарасюта;Гашир;Российская академия народного хозяйства и государственной службы при Президенте РФ;Высшая школа государственного аудита (факультет);3;437;20;Москва
